Wavelength,IntensityFactor
851.133,1652.8
851.085,1654.75
851.038,1650.65
850.99,1647.5
850.942,1672.5
850.894,1652.2
850.846,1656.95
850.799,1669.5
850.751,1652.8
850.703,1685.95
850.655,1677.3
850.607,1667.4
850.559,1659.15
850.512,1667.3
850.464,1643.2
850.416,1665.25
850.368,1659.15
850.32,1676.15
850.272,1655.85
850.224,1677.2
850.177,1645.85
850.129,1658.85
850.081,1649.3
850.033,1654.45
849.985,1670.15
849.937,1660.55
849.889,1676.55
849.842,1676.6
849.794,1654.35
849.746,1655.1
849.698,1684.9
849.65,1676.75
849.602,1658.9
849.554,1669.95
849.506,1664.95
849.458,1676.25
849.41,1650.65
849.363,1660.25
849.315,1650.2
849.267,1661.2
849.219,1668.55
849.171,1644.8
849.123,1645.75
849.075,1676.15
849.027,1676.8
848.979,1656.1
848.931,1663.75
848.883,1692.7
848.835,1690.85
848.787,1649.95
848.739,1676.35
848.691,1640.8
848.643,1651.4
848.595,1650.35
848.547,1653.7
848.499,1652.35
848.452,1647.6
848.404,1669.4
848.356,1651.35
848.308,1662.65
848.26,1666.65
848.212,1677.25
848.164,1687.35
848.116,1666.05
848.068,1685.95
848.02,1675.75
847.972,1671.95
847.924,1678.9
847.876,1666.95
847.827,1660.65
847.779,1649.35
847.731,1661.15
847.683,1646.5
847.635,1652.75
847.587,1642.9
847.539,1669
847.491,1663.9
847.443,1655.85
847.395,1675.95
847.347,1688.95
847.299,1650.5
847.251,1643.4
847.203,1674.85
847.155,1651.8
847.107,1660.35
847.059,1655.1
847.011,1653.5
846.963,1664.05
846.914,1643.35
846.866,1672.35
846.818,1673.5
846.77,1663.8
846.722,1655
846.674,1652.15
846.626,1657.5
846.578,1659.15
846.53,1669.95
846.482,1664
846.433,1687.7
846.385,1670.95
846.337,1658.8
846.289,1654.4
846.241,1645.7
846.193,1651.75
846.145,1647.4
846.097,1655.35
846.048,1674.6
846,1657.5
845.952,1663.05
845.904,1668.8
845.856,1649.3
845.808,1678.25
845.759,1657.8
845.711,1681.35
845.663,1661.9
845.615,1664.35
845.567,1663.55
845.519,1683.65
845.47,1660.65
845.422,1662
845.374,1655.3
845.326,1665.25
845.278,1663.15
845.229,1665.25
845.181,1660.4
845.133,1665.4
845.085,1653.65
845.037,1672.9
844.988,1663.05
844.94,1677.65
844.892,1668
844.844,1661.8
844.795,1651.3
844.747,1667.45
844.699,1695.6
844.651,1644.55
844.603,1656.55
844.554,1655.15
844.506,1650.95
844.458,1647.25
844.41,1664.15
844.361,1671.55
844.313,1657.75
844.265,1656.55
844.216,1670.85
844.168,1672.85
844.12,1662
844.072,1678.85
844.023,1679.55
843.975,1661.55
843.927,1664.35
843.879,1663.5
843.83,1639.2
843.782,1664.1
843.734,1648.5
843.685,1664.45
843.637,1656.6
843.589,1683.3
843.54,1663.75
843.492,1652.7
843.444,1658.35
843.395,1684.55
843.347,1668.35
843.299,1685.3
843.25,1684.8
843.202,1654.65
843.154,1674.8
843.105,1688
843.057,1658.3
843.009,1658.9
842.96,1663.75
842.912,1662.8
842.864,1653.65
842.815,1659.4
842.767,1638.1
842.719,1650.2
842.67,1648.35
842.622,1673.6
842.573,1653.95
842.525,1678.25
842.477,1667.65
842.428,1670.85
842.38,1666.35
842.331,1670
842.283,1672.1
842.235,1660.1
842.186,1664.55
842.138,1661.15
842.089,1676.4
842.041,1656.85
841.993,1637.4
841.944,1666.55
841.896,1659.05
841.847,1680.45
841.799,1677.7
841.75,1676.45
841.702,1669.55
841.654,1675.15
841.605,1648.35
841.557,1657.4
841.508,1657.4
841.46,1659.15
841.411,1655.85
841.363,1656.7
841.314,1648.8
841.266,1678.2
841.217,1636.45
841.169,1675.75
841.12,1663.05
841.072,1670.5
841.023,1681.35
