Wavelength,IntensityFactor
847.443,1688.15
847.395,1673.35
847.347,1670.75
847.299,1676.8
847.251,1665.25
847.203,1679.65
847.155,1675.1
847.107,1652.8
847.059,1694.25
847.011,1666.7
846.963,1660.9
846.914,1659.7
846.866,1672.9
846.818,1667.65
846.77,1680.65
846.722,1671.85
846.674,1647.25
846.626,1649.25
846.578,1675.1
846.53,1659.2
846.482,1676.55
846.433,1679.25
846.385,1660.8
846.337,1700.1
846.289,1684
846.241,1656.45
846.193,1648.15
846.145,1657.95
846.097,1678.8
846.048,1664.3
846,1668.8
845.952,1679.15
845.904,1654.35
845.856,1680.75
845.808,1667.7
845.759,1665.6
845.711,1667.1
845.663,1670.2
845.615,1676.65
845.567,1653.05
845.519,1668.35
845.47,1654.1
845.422,1672.4
845.374,1667.7
845.326,1663.55
845.278,1668.35
845.229,1668.6
845.181,1638.5
845.133,1677.4
845.085,1663.35
845.037,1681.6
844.988,1660.9
844.94,1679.55
844.892,1680.35
844.844,1677
844.795,1679.95
844.747,1659.85
844.699,1663
844.651,1691.8
844.603,1668.45
844.554,1678.1
844.506,1652.3
844.458,1672.8
844.41,1641.95
844.361,1665.4
844.313,1669.2
844.265,1670.85
844.216,1666.8
844.168,1672.2
844.12,1678.15
844.072,1681.1
844.023,1670.25
843.975,1670.35
843.927,1655.85
843.879,1675.45
843.83,1645.65
843.782,1644.85
843.734,1665.9
843.685,1660.2
843.637,1655.9
843.589,1657.35
843.54,1665.2
843.492,1666
843.444,1657.9
843.395,1680.8
843.347,1670.1
843.299,1665.2
843.25,1684.35
843.202,1654.65
843.154,1659.8
843.105,1675.9
843.057,1685.05
843.009,1661.35
842.96,1676.6
842.912,1660.2
842.864,1660.85
842.815,1656.6
842.767,1674.3
842.719,1676.75
842.67,1651.3
842.622,1667.75
842.573,1676.5
842.525,1674.75
842.477,1660.1
842.428,1681.25
842.38,1639.55
842.331,1671.9
842.283,1668.35
842.235,1671.7
842.186,1655.9
842.138,1649.1
842.089,1674.9
842.041,1675.05
841.993,1655.25
841.944,1658.75
841.896,1665.5
841.847,1671.15
841.799,1651.8
841.75,1645.9
841.702,1641
841.654,1678.15
841.605,1667.45
841.557,1680.9
841.508,1694.1
841.46,1658.3
841.411,1637.6
841.363,1645.5
841.314,1659.95
841.266,1667.35
841.217,1657.75
841.169,1667.65
841.12,1671
841.072,1650
841.023,1680.8
840.975,1648.35
840.927,1669.05
840.878,1662.7
840.83,1676.8
840.781,1670.3
840.733,1687.5
840.684,1667.45
840.635,1669.1
840.587,1665.2
840.538,1664.95
840.49,1657
840.441,1648.55
840.393,1671.25
840.344,1673.4
840.296,1659.65
840.247,1682.3
840.199,1676.65
840.15,1657.85
840.102,1674.5
840.053,1680.6
840.005,1668.15
839.956,1667.25
839.907,1651.2
839.859,1670.3
839.81,1663.45
839.762,1662.3
839.713,1680.15
839.665,1662.25
839.616,1658.15
839.567,1679.15
839.519,1672.2
839.47,1667.85
839.422,1667.7
839.373,1673.5
839.324,1687.65
839.276,1665.65
839.227,1664.4
839.179,1649
839.13,1668.45
839.081,1677.3
839.033,1668.95
838.984,1642.75
838.935,1668.6
838.887,1694.6
838.838,1646.5
838.79,1672.85
838.741,1677.05
838.692,1660.1
838.644,1659.85
838.595,1668.8
838.546,1673.05
838.498,1672.9
838.449,1669.75
838.4,1655.95
838.352,1679.45
838.303,1666.2
838.254,1664.65
838.206,1644.7
838.157,1682.7
838.108,1660.85
838.06,1659.3
838.011,1652.3
837.962,1658.8
837.914,1667.6
837.865,1664.9
837.816,1692.85
837.767,1668.6
837.719,1681.85
837.67,1677.85
837.621,1690.45
837.573,1677.45
837.524,1684.3
837.475,1671.3
837.426,1687.25
837.378,1670.1
837.329,1665.6
837.28,1647
837.231,1662.4
837.183,1672.85
837.134,1659.45
837.085,1676
837.036,1658
836.988,1674.25
836.939,1659.1
836.89,1673.25
836.841,1670.45
836.793,1676.75
836.744,1669.55
836.695,1683.8
836.646,1666.15
836.598,1669
836.549,1688.65
836.5,1694.65
836.451,1649.15
836.402,1714.5
836.354,1644.9
836.305,1646.2
836.256,1661.25
836.207,1657.3
836.158,1675.25
836.11,1670.05
836.061,1663.2
836.012,1658
835.963,1675.05
835.914,1684.8
835.865,1677.45
835.817,1683.95
835.768,1682.4
835.719,1668.7
835.67,1673.1
835.621,1675.3
835.572,1682.25
835.523,1670
835.475,1683.05
835.426,1671.35
835.377,1653.25
835.328,1686.35
835.279,1660.25
835.23,1666.75
835.181,1664.8
835.133,1661.6
835.084,1678.6
835.035,1667.75
834.986,1660.05
834.937,1675.65
834.888,1662.6
834.839,1680
834.79,1667.45
834.741,1666.65
834.692,1671.85
834.643,1663.05
834.595,1655.65
834.546,1662.55
834.497,1665.4
834.448,1660.1
834.399,1677.35
834.35,1679.95
834.301,1653.45
834.252,1667.3
834.203,1672.75
834.154,1665
834.105,1641.35
834.056,1668.6
834.007,1675.7
833.958,1642.35
833.909,1686.2
833.86,1665.7
833.811,1656.9
833.762,1666.45
833.713,1661.15
833.665,1683.7
833.616,1677.3
833.567,1688.95
833.518,1685.8
833.469,1690.05
833.42,1684.05
833.371,1681.8
833.322,1678.85
833.273,1668.1
833.224,1661.65
833.175,1694.8
833.126,1658.5
833.076,1675.65
833.027,1659.65
832.978,1656.85
832.929,1656.35
832.88,1659.3
832.831,1680.85
832.782,1668.85
832.733,1659.95
832.684,1674.15
832.635,1659.95
832.586,1681.8
832.537,1672.15
832.488,1667.95
832.439,1674.75
832.39,1683.7
832.341,1678.5
832.292,1680.9
832.243,1668
832.194,1683.7
832.144,1679.9
832.095,1684.9
832.046,1665.75
831.997,1670.5
831.948,1657.65
831.899,1673.8
831.85,1675.25
831.801,1662.2
831.752,1686.15
831.703,1672.6
831.653,1674.7
831.604,1682.5
831.555,1664.75
831.506,1685.55
831.457,1706.25
831.408,1678.05
831.359,1663.05
831.31,1664.95
831.26,1654.8
831.211,1642
831.162,1685.2
831.113,1669.2
831.064,1697.65
831.015,1702.95
830.966,1678
830.916,1665.45
830.867,1676.5
830.818,1699.25
830.769,1666.85
830.72,1677.1
830.671,1676.9
830.621,1675.75
830.572,1656.65
830.523,1661.3
830.474,1669.6
830.425,1668.1
830.375,1651.9
830.326,1669.6
830.277,1677.2
830.228,1657.1
830.179,1666.75
830.129,1665.95
830.08,1658.3
830.031,1685.45
829.982,1669.05
829.932,1672.3
829.883,1657.55
829.834,1666.8
829.785,1659.55
829.735,1650.9
829.686,1651.75
829.637,1661.45
829.588,1647.2
829.538,1654.1
829.489,1658.7
829.44,1665.35
829.391,1650.05
829.341,1689.15
829.292,1666.75
829.243,1665.6
829.194,1670.4
829.144,1673.45
829.095,1684.05
829.046,1665.95
828.996,1669.45
828.947,1697.05
828.898,1648.3
828.849,1627.55
828.799,1653.65
828.75,1648.7
828.701,1655.5
828.651,1682.35
828.602,1666.75
828.553,1665.75
828.503,1666.8
828.454,1677.35
828.405,1666.85
828.355,1680
828.306,1660.95
828.257,1684.65
828.207,1656
828.158,1690.5
828.109,1665.45
828.059,1673.45
828.01,1672.35
827.961,1661.35
827.911,1668.05
827.862,1665.25
827.812,1657
827.763,1667.7
827.714,1668.9
827.664,1692.65
827.615,1691.5
827.566,1682.7
827.516,1674.95
827.467,1691
827.417,1686.1
827.368,1676.3
827.319,1685.2
827.269,1673.3
827.22,1662.75
827.17,1662.75
827.121,1640.05
827.072,1659
827.022,1671.6
826.973,1663.9
826.923,1666.65
826.874,1659.85
826.824,1667.15
826.775,1668.95
826.726,1667.65
826.676,1656.1
826.627,1682.15
826.577,1654.85
826.528,1660.95
826.478,1666.3
826.429,1670.8
826.379,1621
826.33,1660.1
826.28,1658.3
826.231,1656.15
826.181,1645.1
826.132,1658.4
826.083,1674.9
826.033,1671.15
825.984,1680.7
825.934,1671
825.885,1682.35
825.835,1668.75
825.786,1692.8
825.736,1664.05
825.687,1674.15
825.637,1655.75
825.588,1675.05
825.538,1656.15
825.488,1672.9
825.439,1656.8
825.389,1651.75
825.34,1662.7
825.29,1660.3
825.241,1664.55
825.191,1672.45
825.142,1679.1
825.092,1691
825.043,1688.5
824.993,1676.25
824.944,1687.7
824.894,1671.95
824.844,1677.5
824.795,1664.1
824.745,1671.7
824.696,1651.6
824.646,1674.6
824.597,1672.45
824.547,1654.5
824.497,1666.6
824.448,1654.8
824.398,1647.45
824.349,1661.25
824.299,1681.2
824.249,1669.15
824.2,1668.85
824.15,1660.45
824.101,1671.3
824.051,1671.1
824.001,1685.75
823.952,1692.85
823.902,1656
823.852,1638.8
823.803,1678.95
823.753,1670.2
823.704,1672.2
823.654,1672.75
823.604,1681.85
823.555,1672.8
823.505,1682.15
823.455,1666.05
823.406,1650.1
823.356,1659.5
823.306,1661.95
823.257,1669
823.207,1663.2
823.157,1697.1
823.108,1677.9
823.058,1664.65
823.008,1665.6
822.959,1666.2
822.909,1665.55
822.859,1666.9
822.809,1673.7
822.76,1667.8
822.71,1650.3
822.66,1672.7
822.611,1676.8
822.561,1669.4
822.511,1654.6
822.461,1661.7
822.412,1668.8
822.362,1668.65
822.312,1683.65
822.263,1677.6
822.213,1664
822.163,1664.55
822.113,1674.3
822.064,1676.05
822.014,1671.65
821.964,1681.95
821.914,1674.05
821.865,1650.85
821.815,1666.8
821.765,1668.1
821.715,1670.35
821.666,1670.4
821.616,1660.75
821.566,1683.2
821.516,1666.8
821.466,1656.55
821.417,1692.2
821.367,1639.6
821.317,1682.75
821.267,1629.4
821.217,1649.45
821.168,1660.3
821.118,1656.75
821.068,1656.85
821.018,1673.85
820.968,1659.35
820.919,1672.4
820.869,1661.95
820.819,1671.4
820.769,1685.6
820.719,1674.6
820.669,1682.8
820.62,1687.5
820.57,1664.9
820.52,1666.25
820.47,1657.7
820.42,1655.75
820.37,1659.9
820.32,1677.2
820.271,1655.2
820.221,1664.9
820.171,1671.5
820.121,1664.25
820.071,1678.95
820.021,1652.85
819.971,1668.25
819.921,1697.95
819.872,1678.75
819.822,1681.9
819.772,1681.9
819.722,1665.05
819.672,1665
819.622,1675.3
819.572,1678.9
819.522,1654.2
819.472,1659.7
819.422,1655.95
819.373,1666.5
819.323,1678.95
819.273,1673
819.223,1677.15
819.173,1686.6
819.123,1665.65
819.073,1694.15
819.023,1677.75
818.973,1670.35
818.923,1674.25
818.873,1662.9
818.823,1630.55
818.773,1662.7
818.723,1664.45
818.673,1671.5
818.623,1647.45
818.573,1674.35
818.523,1653.25
818.473,1663.4
818.423,1659.95
818.373,1684.35
818.323,1685.85
818.273,1690.9
818.223,1691.9
818.173,1662.6
818.123,1683.2
818.073,1676.15
818.023,1685
817.973,1671.2
817.923,1667.65
817.873,1677.55
817.823,1670.7
817.773,1640.5
817.723,1653.5
817.673,1655.25
817.623,1668.55
817.573,1639.2
817.523,1667.1
817.473,1664.95
817.423,1680.75
817.373,1673.1
817.323,1698.5
817.273,1691.85
817.223,1681.05
817.173,1672.75
817.123,1677.75
817.073,1664.85
817.023,1672.8
816.972,1668.8
816.922,1665.6
816.872,1654.1
816.822,1663.2
816.772,1665.85
816.722,1675.6
816.672,1657.25
816.622,1661.65
816.572,1663.55
816.522,1676.45
816.472,1678.1
816.421,1680.15
816.371,1675.3
816.321,1650.2
816.271,1695.5
816.221,1670.9
816.171,1666.1
816.121,1670.4
816.071,1662.9
816.02,1666.85
815.97,1692.45
815.92,1686.45
815.87,1661.4
815.82,1668.5
815.77,1668.55
815.72,1662.1
815.669,1662.6
815.619,1673.7
815.569,1659.8
815.519,1674.4
815.469,1664.6
815.419,1667.85
815.368,1664.2
815.318,1675.4
815.268,1701.1
815.218,1684.6
815.168,1668.65
815.117,1668.9
815.067,1673.45
815.017,1674.05
814.967,1665.9
814.917,1655.15
814.866,1673.9
814.816,1662.05
814.766,1681.05
814.716,1669.15
814.665,1677.6
814.615,1662.5
814.565,1668.85
814.515,1653.35
814.465,1669.05
814.414,1673.45
814.364,1663.1
814.314,1676.45
814.264,1664.7
814.213,1646.8
814.163,1662.9
814.113,1667.4
814.063,1659.45
814.012,1669.85
813.962,1669.95
813.912,1687
813.861,1681.15
813.811,1674.2
813.761,1672.1
813.711,1657
813.66,1649.5
813.61,1653.1
813.56,1661
813.509,1641.25
813.459,1668.2
813.409,1658.7
813.358,1676.65
813.308,1665.9
813.258,1671.75
813.208,1672.7
813.157,1663.55
813.107,1686.7
813.057,1672.65
813.006,1686.05
812.956,1665.75
812.906,1672.45
812.855,1663.45
812.805,1673.45
812.755,1676.95
812.704,1659.65
812.654,1664.6
812.603,1664
812.553,1667.05
812.503,1678.45
812.452,1668.85
812.402,1671.25
812.352,1658.7
812.301,1670.45
812.251,1663.55
812.2,1679.7
812.15,1672.2
812.1,1663.4
812.049,1675.85
811.999,1673.9
811.949,1651.9
811.898,1675.5
811.848,1671.35
811.797,1686.95
811.747,1660.75
811.696,1672.4
811.646,1661.55
811.596,1671.5
811.545,1678.45
811.495,1669.3
811.444,1650.55
811.394,1690.65
811.343,1683.45
811.293,1676
811.243,1658.8
811.192,1667.5
811.142,1657.85
811.091,1655.75
811.041,1644.35
810.99,1664.75
810.94,1643.95
810.889,1659.95
810.839,1648.95
810.788,1670.55
810.738,1672.1
810.688,1669.65
810.637,1676.15
810.587,1676.55
810.536,1686.35
810.486,1652.15
810.435,1675.45
810.385,1666.3
810.334,1681
810.284,1687.25
810.233,1683.4
810.183,1687
810.132,1662.1
810.081,1655.55
810.031,1664.5
809.98,1655.25
809.93,1657.15
809.879,1667.4
809.829,1658.7
809.778,1669.2
809.728,1648.55
809.677,1656.2
809.627,1661.2
809.576,1677.7
809.526,1650.1
809.475,1671.1
809.424,1674.85
809.374,1683.3
809.323,1687.65
809.273,1666.15
809.222,1674.2
809.172,1684.35
809.121,1660.7
809.07,1660.9
809.02,1676.65
808.969,1652.15
808.919,1655.65
808.868,1673.5
808.817,1662.5
808.767,1665.9
808.716,1676
808.666,1665.85
808.615,1675.55
808.564,1713.1
808.514,1658.2
808.463,1662.1
808.413,1659.55
808.362,1681.35
808.311,1654.1
808.261,1645.75
808.21,1682.35
808.159,1672.7
808.109,1676.6
808.058,1664
808.007,1674.4
807.957,1671.3
807.906,1674.25
807.855,1660.55
807.805,1670.2
807.754,1673
807.703,1672.9
807.653,1667.85
807.602,1674.75
807.551,1656.75
807.501,1652.9
807.45,1683
807.399,1687.65
807.349,1664.45
807.298,1680.55
807.247,1670
807.197,1642.7
807.146,1678.15
807.095,1667.55
807.044,1675.85
806.994,1658.55
806.943,1666.55
806.892,1670.4
806.842,1674.55
806.791,1657.7
806.74,1684.8
806.689,1655.75
806.639,1673.15
806.588,1687.4
806.537,1669.3
806.486,1660.7
806.436,1696.95
806.385,1679.85
806.334,1678.85
806.283,1671.45
806.233,1677.7
806.182,1658.85
806.131,1667.15
806.08,1676
806.03,1688.4
805.979,1660.25
805.928,1663.6
805.877,1647.35
805.826,1658.1
805.776,1675.3
805.725,1651.05
805.674,1667.05
805.623,1675.1
805.572,1668.85
805.522,1718.55
805.471,1681.2
805.42,1687.6
805.369,1701.35
805.318,1678.35
805.268,1676.9
805.217,1644.2
805.166,1674.2
805.115,1668.05
805.064,1645.5
805.013,1651.7
804.963,1659.35
804.912,1666.8
804.861,1659.5
804.81,1668.35
804.759,1663.2
804.708,1661.8
